NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
64,356,1,23,4,2,2,4,2,4,5,4,2,4,2,2,4,4,4,3,2,1,1,1,5,4,5,3,3,5,4,5,5,4,5,3,4,5,4,5,10,8,7,3,3,20,15,20,14,2,4,5,6
65,260,1,NA,3,3,4,4,3,4,3,4,3,4,3,4,3,3,3,3,2,3,2,1,2,4,3,2,3,4,3,1,4,4,3,2,3,4,2,3,13,13,9,6,6,14,14,10,9,0,3,0,1
66,281,1,NA,5,4,4,2,4,3,2,2,4,4,4,4,2,1,2,2,2,2,2,3,3,2,3,1,4,2,4,1,2,4,2,3,4,2,3,3,17,19,8,10,7,9,14,9,11,-2,-2,-5,-2
67,168,1,NA,1,2,2,2,2,5,5,5,2,4,1,1,4,4,4,4,1,1,1,1,5,3,4,3,4,4,3,3,4,3,3,3,3,4,3,4,8,9,6,3,3,17,13,14,12,-1,3,4,2
68,1519,2,23,2,3,3,4,3,5,3,4,4,2,3,3,2,3,3,3,2,2,1,2,4,5,4,5,4,5,4,4,5,5,5,5,4,5,4,5,15,12,8,7,5,19,18,18,18,3,1,1,0
69,1142,2,21,2,2,2,4,2,4,4,4,2,4,2,2,4,4,4,2,2,1,1,1,5,3,4,3,3,5,3,4,5,3,4,3,3,5,3,4,10,9,6,3,3,20,12,16,12,1,3,8,4
70,178,2,22,3,2,3,4,2,4,4,5,2,4,2,1,3,3,3,4,2,1,1,1,5,3,4,3,5,2,5,1,4,2,4,3,5,2,5,3,10,9,7,6,3,13,15,12,16,1,1,-2,-4
71,296,2,28,4,4,3,3,4,4,3,3,3,3,3,2,2,2,3,2,2,2,2,2,4,3,4,3,3,4,3,4,4,3,4,3,4,3,4,3,15,15,6,8,6,15,13,15,13,0,-2,2,2
72,304,1,54,5,3,4,2,3,4,4,5,3,3,2,3,4,3,4,3,2,1,2,1,5,2,4,3,5,3,4,3,5,2,5,2,5,4,4,3,13,13,8,4,4,17,14,15,13,0,4,3,2
73,440,1,24,3,3,2,4,3,4,5,4,2,3,2,2,3,3,4,3,2,1,2,2,5,2,5,2,2,5,2,4,4,2,4,2,2,5,2,5,12,9,7,5,5,19,8,18,8,3,2,11,10
74,520,1,22,3,4,2,4,4,4,5,5,1,4,1,1,4,4,4,4,1,1,1,1,5,3,4,3,5,3,4,3,5,4,5,4,4,5,4,5,10,9,6,3,3,18,16,17,15,1,3,2,2
75,164,1,21,3,4,5,4,4,4,4,5,4,5,4,4,3,4,3,3,4,3,3,3,5,4,5,4,4,5,5,4,4,4,5,4,4,5,5,4,15,13,11,5,9,19,16,18,18,2,6,3,0
76,405,2,26,5,2,2,4,3,4,4,4,2,3,3,1,4,2,2,3,2,2,2,1,3,4,4,4,5,4,4,4,5,2,4,3,4,5,3,4,13,9,6,7,5,17,15,16,14,4,-1,2,2
77,259,1,20,4,3,4,5,3,4,5,3,3,4,5,3,3,4,4,3,2,1,2,1,4,4,4,4,4,5,4,5,4,5,5,4,4,4,4,4,15,11,8,4,4,17,17,18,16,4,4,0,2
78,282,1,22,3,2,2,4,2,4,4,4,2,4,2,2,4,4,4,2,2,1,1,1,5,3,4,3,3,5,3,4,5,3,4,3,3,5,3,4,10,9,6,3,3,20,12,16,12,1,3,8,4
79,254,2,24,4,3,2,4,2,5,5,5,1,5,1,1,4,4,4,3,2,1,1,1,4,5,5,5,3,5,4,5,5,2,5,3,5,5,5,5,6,8,6,3,3,19,15,20,17,-2,3,4,3
