NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
66,266,1,22,3,1,1,4,3,4,4,4,2,4,4,3,4,4,4,4,2,2,1,1,5,5,4,4,5,5,4,4,5,1,1,4,5,5,4,4,13,8,9,3,4,20,16,13,16,5,6,4,-3
67,212,1,23,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,15,15,8,6,6,4,4,8,8,0,2,0,0
68,197,2,26,5,3,2,2,2,4,4,3,3,3,2,3,2,2,2,2,2,1,1,2,3,5,3,4,5,3,4,3,4,3,4,3,4,3,4,3,12,14,7,9,4,13,17,13,15,-2,-2,-4,-2
69,622,2,NA,2,2,2,4,3,5,3,4,2,4,2,2,3,3,3,4,2,1,1,1,5,4,4,3,4,5,3,4,5,4,4,3,4,5,3,4,10,11,8,6,3,20,16,16,12,-1,2,4,4
70,532,2,23,4,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,3,3,3,3,3,3,4,1,3,3,4,2,3,3,14,13,9,6,6,13,11,12,12,1,3,2,0
71,158,2,22,3,3,3,3,2,3,3,4,3,2,2,2,2,3,3,3,3,2,2,2,4,4,2,3,4,4,3,4,4,4,2,2,4,4,4,4,14,14,8,7,6,16,16,12,12,0,1,0,0
72,144,1,NA,2,3,2,2,3,4,2,3,3,3,4,3,2,3,2,3,2,2,2,2,3,4,3,3,3,4,3,2,3,4,3,2,3,4,2,3,15,16,8,8,6,14,14,11,10,-1,0,0,1
73,313,1,25,4,2,2,4,2,4,4,4,2,3,4,2,3,4,4,3,2,1,1,1,5,4,5,4,4,3,3,4,4,5,3,5,5,4,4,3,13,10,7,4,3,16,18,15,16,3,3,-2,-1
74,174,2,22,3,4,5,4,5,5,4,5,4,4,5,4,4,4,4,3,4,3,3,3,5,4,5,5,4,5,4,5,5,4,5,4,4,5,5,4,17,14,11,3,9,20,16,19,18,3,8,4,1
75,154,2,24,3,5,4,4,3,1,3,2,2,2,5,4,2,2,2,4,2,2,3,3,3,5,3,4,4,3,4,3,3,4,3,4,5,3,3,3,19,18,10,9,8,12,18,12,15,1,1,-6,-3
